Assessment_Date,Address,Building_Alarm_System,Building_Sprinklered,Fire_Extinguishers,LatLong,Latitude,Longitude
2023-11-15,26 Lennox st,No,No,Yes,"(-33.749021, 151.160498)",-33.749021,151.160498
2023-11-15,26 Lennox dr,No,No,Yes,"(53.6685114, -1.5321776551316337)",53.6685114,-1.5321776551316337
2023-11-15,46 Lennox ,No,No,Yes,"(33.9419297, -118.3679681)",33.9419297,-118.3679681
2023-11-15,39 Lennox dr,No,No,Yes,"(53.667883700000004, -1.5332620554726408)",53.667883700000004,-1.5332620554726408
2023-11-15,"15 Cedar Pointe Dr Barrie, On L4N 5R7",No,No,Yes,"(44.3817118, -79.7123219)",44.3817118,-79.7123219
2023-11-15,40 Lennox drive,No,No,Yes,"(53.668193450000004, -1.5333533500000038)",53.668193450000004,-1.5333533500000038
2023-11-15,29 Lennox dr ,No,No,Yes,"(53.6681416, -1.5325941999999988)",53.6681416,-1.5325941999999988
2023-11-16,410 Essa,No,No,Yes,"(44.2896116, -79.8965865)",44.2896116,-79.8965865
2023-11-16,181 Livingston ,Yes,No,Yes,"(55.9018511, -3.5512745)",55.9018511,-3.5512745
2023-11-16,181 Livingston ,No,No,Yes,"(55.9018511, -3.5512745)",55.9018511,-3.5512745
2023-11-15,181 Livingston ,No,No,Yes,"(55.9018511, -3.5512745)",55.9018511,-3.5512745
2023-11-23,34 cedar pointe dr,No,No,Yes,"(44.38108068757255, -79.71273736661165)",44.38108068757255,-79.71273736661165
2023-11-23,74 cedar pointe,No,No,Yes,"(44.383128299999996, -79.71252646889147)",44.383128299999996,-79.71252646889147
2023-11-23,15 cedar pointe,No,No,No,"(38.73228905, -90.90385831836795)",38.73228905,-90.90385831836795
2023-11-23,15 Cedar Pointe Dr,No,No,No,"(48.365536, -114.1817436)",48.365536,-114.1817436
2023-11-23,494 veterans dr,No,No,No,"(37.87103014234754, -85.96729567841213)",37.87103014234754,-85.96729567841213
2023-11-23,494 Dunlop st,No,No,No,"(34.17442978223564, -79.40569108346776)",34.17442978223564,-79.40569108346776
2023-11-23,225 ferndale south,No,No,No,"(44.35461612919486, -79.71450345517142)",44.35461612919486,-79.71450345517142
2023-11-23,15 cedar point dr,No,No,No,"(40.68521945, -73.28869800069558)",40.68521945,-73.28869800069558
2023-11-23,34 cedar point,No,No,Yes,"(32.3524842985553, -80.84974657321644)",32.3524842985553,-80.84974657321644
2023-11-23,74 cedar point ,No,No,Yes,"(32.35412807512803, -80.8490827264268)",32.35412807512803,-80.8490827264268
2023-11-16,106 Sauders,No,Yes,Yes,"(36.89149061534422, -78.55035732121627)",36.89149061534422,-78.55035732121627
2023-11-28,110 Saunders rd,No,Yes,Yes,"(44.332515, -79.68297710867381)",44.332515,-79.68297710867381
2023-12-01,110 Saunders,No,Yes,Yes,"(43.5608917, -73.4081541)",43.5608917,-73.4081541
2023-12-06,33 alliance blvd,Yes,Yes,Yes,"(44.4088922, -79.6830527)",44.4088922,-79.6830527
2023-12-08,110 Saunders Road,No,Yes,Yes,"(44.332515, -79.68297710867381)",44.332515,-79.68297710867381
2023-12-11,178 Grove Street,No,No,No,"(41.2018473, -73.7248771)",41.2018473,-73.7248771
2023-12-12,241 Essa rd,No,No,No,"(44.35754265132782, -79.6985025762731)",44.35754265132782,-79.6985025762731
2023-12-12,411 bayfield,Yes,Yes,Yes,"(44.409284, -79.7056111)",44.409284,-79.7056111
2023-12-12,411 bayfield,No,Yes,Yes,"(44.409284, -79.7056111)",44.409284,-79.7056111
2023-12-12,132 Commerce Park Drive,No,No,No,"(44.3237692, -79.6929835)",44.3237692,-79.6929835
2023-12-12,132 Commerce Park Drive ,No,No,No,"(44.3237692, -79.6929835)",44.3237692,-79.6929835
2023-12-14,279 Yonge st,No,No,Yes,"(44.7506641, -79.8733767)",44.7506641,-79.8733767
2023-12-14,450 Bayfield st,Yes,Yes,Yes,"(44.409786249999996, -79.71153317129007)",44.409786249999996,-79.71153317129007
2023-12-16,411 Bayfield Street,Yes,Yes,Yes,"(44.409284, -79.7056111)",44.409284,-79.7056111
2023-12-16,231 Essa road,No,No,No,"(44.357876072641886, -79.69835054381193)",44.357876072641886,-79.69835054381193
2023-12-16,241 Essa road,No,No,No,"(44.35754265132782, -79.6985025762731)",44.35754265132782,-79.6985025762731
2023-12-12,102 Commerce Park Drive,No,Yes,Yes,"(44.324222500000005, -79.68801815290107)",44.324222500000005,-79.68801815290107
2023-12-12,142 Commerce Park Drive,No,Yes,Yes,"(44.3236908, -79.6933354)",44.3236908,-79.6933354
2023-12-18,132 Commerce Park,No,No,No,"(41.686789881945664, -70.01571346217631)",41.686789881945664,-70.01571346217631
2023-12-20,660 bay view dr,No,Yes,Yes,"(41.67078608025731, -86.10295128146696)",41.67078608025731,-86.10295128146696
2023-12-20,660 bay view drive,Yes,Yes,Yes,"(41.67078608025731, -86.10295128146696)",41.67078608025731,-86.10295128146696
2023-12-20,563 Essa Rd.,No,No,Yes,"(44.336224587758196, -79.71069590845501)",44.336224587758196,-79.71069590845501
2023-12-20,98 Dunlop st ,Yes,No,Yes,"(-33.7802589, 151.0631379)",-33.7802589,151.0631379
2023-12-20,104 Dunlop ,Yes,No,Yes,"(37.2699415, -77.40128257971303)",37.2699415,-77.40128257971303
2023-12-20,106 Dunlop east,No,No,Yes,"(44.38942065384615, -79.68634580384615)",44.38942065384615,-79.68634580384615
2023-12-21,12 Fairview dr ,Yes,No,Yes,"(10.716996, -61.499576)",10.716996,-61.499576
2023-12-21,12 Fairview ,Yes,No,Yes,"(53.363346050000004, -6.235724041595443)",53.363346050000004,-6.235724041595443
2023-12-21,28 curry,No,Yes,Yes,"(46.501761, -80.4236213)",46.501761,-80.4236213
2023-12-22,132 Commerce Park dr,No,No,No,"(44.3237692, -79.6929835)",44.3237692,-79.6929835
2023-12-22,279 Yonge street,No,No,Yes,"(44.7506641, -79.8733767)",44.7506641,-79.8733767
2023-12-22,279 Yonge street,No,No,No,"(44.7506641, -79.8733767)",44.7506641,-79.8733767
2023-12-23,35 Dunlop Street ,No,No,Yes,"(-33.7785613, 151.06846075515355)",-33.7785613,151.06846075515355
2023-12-27,580 Bayfield street,No,No,No,"(44.4162218, -79.716091)",44.4162218,-79.716091
2023-12-27,580 Bayfield street ,No,No,No,"(44.4162218, -79.716091)",44.4162218,-79.716091
2023-12-27,477 Grove Street ,No,No,Yes,"(40.8376972, -74.1954664)",40.8376972,-74.1954664
2023-12-28,431 huronia road,No,No,No,"(44.3507158, -79.663906)",44.3507158,-79.663906
2023-12-27,411 Bayfield Street ,Yes,Yes,Yes,"(44.409284, -79.7056111)",44.409284,-79.7056111
2023-12-28,411 Bayfield Street ,No,No,No,"(44.409284, -79.7056111)",44.409284,-79.7056111
2023-12-28,411 Bayfield Street,No,No,No,"(44.409284, -79.7056111)",44.409284,-79.7056111
2024-01-03,54 maple,No,No,Yes,"(53.1666302, -1.0614626705696244)",53.1666302,-1.0614626705696244
2024-01-03,18 mulcaster,No,No,Yes,"(49.1830708, -2.1072697)",49.1830708,-2.1072697
2024-01-03,140 Dunlop street east ,Yes,Yes,Yes,"(44.3894956, -79.6847381)",44.3894956,-79.6847381
2023-12-23,44 Cedar Point Drive,No,No,No,"(42.57419675, -88.526537)",42.57419675,-88.526537
2024-01-04,44 Cedar Point Drive,No,No,No,"(42.57419675, -88.526537)",42.57419675,-88.526537
2024-01-04,30 Morrow Rd. ,No,No,Yes,"(44.390082325994044, -75.97604642715487)",44.390082325994044,-75.97604642715487
2024-01-04,88 Dunlop st east,Yes,No,Yes,"(44.38941186153846, -79.68690806153846)",44.38941186153846,-79.68690806153846
2024-01-04,55 Dunlop st east,Yes,No,Yes,"(44.38916893103449, -79.6886059724138)",44.38916893103449,-79.6886059724138
2024-01-05,110 Saunders Road,No,Yes,Yes,"(44.332515, -79.68297710867381)",44.332515,-79.68297710867381
2024-01-05,110 Saunders Road,No,No,No,"(44.332515, -79.68297710867381)",44.332515,-79.68297710867381
2024-01-08,431 Huronia rd ,No,No,Yes,"(44.3507158, -79.663906)",44.3507158,-79.663906
2024-01-08,74 Cedar Point Drive,No,No,Yes,"(40.687778449999996, -73.28996169634226)",40.687778449999996,-73.28996169634226
2024-01-08,74 Cedar Point ,No,No,Yes,"(32.35412807512803, -80.8490827264268)",32.35412807512803,-80.8490827264268
2024-01-11,431 Yonge St.,No,No,Yes,"(44.7478557, -79.8798469)",44.7478557,-79.8798469
2024-01-12,40 morrow rd,No,No,Yes,"(44.390047275057476, -75.97660917291192)",44.390047275057476,-75.97660917291192
2024-01-12,28 Currie Street,No,Yes,No,"(-45.8183594, 170.6205382)",-45.8183594,170.6205382
2024-01-12,461 big bay point rd,Yes,Yes,Yes,"(44.39427793939394, -79.53953718181818)",44.39427793939394,-79.53953718181818
2024-01-12,640 Yonge st Barrie ,No,No,Yes,"(44.3556936, -79.64564656329776)",44.3556936,-79.64564656329776
2024-01-12,624 Yonge st barrie,No,No,Yes,"(44.3564859, -79.64781579999999)",44.3564859,-79.64781579999999
2024-01-15,53 Ardagh rd,No,No,Yes,"(44.358084, -79.7005048)",44.358084,-79.7005048
2024-01-15,2 Byrne dr,No,No,Yes,"(40.119737, -75.507102)",40.119737,-75.507102
2024-01-15,92 commerce park,No,Yes,Yes,"(41.68630993052714, -70.0168738093475)",41.68630993052714,-70.0168738093475
