ID,Assessment Date,Address,Unit # (if applicable),Is there a fire alarm system in this building serving more than one unit? (Does the smoke detector in 1 unit set off the entire building's fire alarm system),Is the building sprinklered?,Are there fire extinguishers in the building?,Is there a fire alarm system in this building?,Is the building sprinklered?2,Are there fire extinguishers in the building?2
460,11/04/2024,149 Live eight way,N/A,,,,Yes,Yes,Yes
461,11/04/2024,41 maple ave,1,,,,No,No,Yes
462,12/04/2024,64 Dunlop St E ,N/A,,,,No,No,Yes
463,12/04/2024,54 Maple Ave,F,,,,,,
464,12/04/2024,80 Mary St,1,No,No,Yes,,,
465,13/04/2024,410 Essa Rd,A1-A,,,,No,No,Yes
466,15/04/2024,454 Bayfield st,H1,,,,No,No,Yes
467,15/04/2024,454 Bayfield st.,2,,,,No,No,Yes
468,15/04/2024,454  Bayfield st ,3,,,,No,No,Yes
469,15/04/2024,175 Essa Rd,N/a,,,,Yes,No,Yes
470,15/04/2024,556 Bryne ,1&2,,,,,,
471,15/04/2024,79 Dunlop St W.,C,,,,No,No,Yes
472,15/04/2024,112 commerce park dr,I,,,,,,
473,15/04/2024,25 Dunlop St W.,No,,,,No,No,Yes
474,15/04/2024,13 Dunlop St W,None,,,,,,
475,15/04/2024,180 Innisfil street ,1,,,,No,No,Yes
476,15/04/2024,52 Bayfield St,None,,,,Yes,Yes,Yes
477,16/04/2024,420 Essa,Shoppers,,,,No,No,Yes
478,16/04/2024,48 Alliance Blvd ,B7,,,,No,No,Yes
479,16/04/2024,48 alliance blvd ,B1,,,,No,No,Yes
480,16/04/2024,48 alliance blvd,B8,,,,No,No,Yes
481,16/04/2024,375 Mapleview Dr W,Na,,,,No,No,Yes
482,16/04/2024,565 Yonge st,3,,,,No,No,No
483,16/04/2024,505 Bryne Dr,NA,,,,No,No,Yes
484,16/04/2024,550 Bryne,NA,,,,No,No,Yes
485,16/04/2024,550 Bryne Dr,NA,,,,No,No,Yes
486,17/04/2024,80 Dunlop st east,Main floor,,,,No,Yes,Yes
487,17/04/2024,347 Bayfield ,Na,,,,No,No,Yes
488,17/04/2024,347 Bayfield ,Na,,,,No,No,Yes
489,17/04/2024,347 Bayfield ,Na,,,,No,No,Yes
490,18/04/2024,53 Bayfield Street,RBC,,,,No,No,Yes
491,18/04/2024,5 Collier St. ,RBC ,,,,No,No,Yes
492,18/04/2024,21 Essa Rd,1,,,,No,No,Yes
493,18/04/2024,192 Essa Road,0,,,,No,No,Yes
494,18/04/2024,27 Mapleview dr west,1,,,,,,
495,18/04/2024,33 Mapleview Drive West,6,,,,,,
496,18/04/2024,33 Mapleview Drive West,4,,,,,,
497,18/04/2024,490 Mapleview Drive West ,1,,,,,,
498,18/04/2024,490 Mapleview Drive West ,5,,,,,,
499,23/04/2024,364 St Vincent street,E9,,,,No,Yes,Yes
500,23/04/2024,364 st Vincent street,E8,,,,No,Yes,Yes
501,23/04/2024,160 saunders,3 & 4,,,,No,Yes,Yes
502,23/04/2024,160 saunders ,2,,,,No,Yes,Yes
503,23/04/2024,364 st Vincent street,E1,,,,No,Yes,Yes
504,23/04/2024,411 Huronia rd,12,,,,,,
505,24/04/2024,18 cundles rd e,4,,,,No,No,Yes
506,25/04/2024,410 ESSA rd,A1C,,,,No,No,Yes
507,26/04/2024,129 Dunlop St E,N/A,,,,No,No,Yes
508,26/04/2024,31 Dunlop St E,N/A,,,,Yes,Yes,Yes
509,26/04/2024,102 Byrne Drive ,9,,,,,,
510,26/04/2024,26 Lennox Drive,0,,,,,,
511,26/04/2024,26 Lennox Drive,5 ,,,,,,
512,26/04/2024,29 Lennox Drive ,1-5,,,,,,
513,26/04/2024,133 Dunlop Street East,1,,,,,,
514,26/04/2024,137 Dunlop Street East,1,,,,,,
515,29/04/2024,1 ferndale dr n,1,,,,No,No,Yes
516,29/04/2024,54 Maple Ave. ,F,,,,,,
517,30/04/2024,18 cundles east,3,,,,No,No,Yes
518,02/05/2024,29 Bradford st,Unit 1,,,,No,No,Yes
519,06/05/2024,49 Essa rd,1,,,,Yes,No,Yes
520,30/04/2024,22 Commerce Park Drive,Na,,,,No,Yes,Yes
521,30/04/2024,22 Commerce Park Drive,Na,,,,No,Yes,No
522,30/04/2024,22 commerce park drive,Treadmill Factory,,,,No,Yes,Yes
523,30/04/2024,22 Commerce Park Drive,Na,,,,No,Yes,Yes
524,06/05/2024,41 maple ave,1,,,,,,
525,06/05/2024,81 Patterson Rd,N,,,,,,
526,06/05/2024,73 Patterson ,N,,,,,,
527,07/05/2024,500 Huronia Road,Mind to Muscle,,,,,,
528,07/05/2024,500 Huronia road,DYE and Russell Law,,,,,,
529,07/05/2024,500 Huronia Road,Barrie LASIK Centre,,,,,,
530,11/05/2024,8 EssaRd,None,,,,,,
