ID,Assessment Date,Address,Unit # (if applicable),Is there a fire alarm system in this building serving more than one unit? (Does the smoke detector in 1 unit set off the entire building's fire alarm system),Is the building sprinklered?,Are there fire extinguishers in the building?,Is there a fire alarm system in this building?,Is the building sprinklered?2,Are there fire extinguishers in the building?2
289,31/01/2024,411 huronia,9,,,,No,No,No
290,31/01/2024,411 Huronia rd,7,,,,No,No,Yes
291,31/01/2024,319 Bayfield St,None,,,,Yes,No,Yes
292,01/02/2024,124 Dunlop st,No,,,,No,No,Yes
293,01/02/2024,5 Clapperton,A,,,,No,No,Yes
294,02/02/2024,660 Bayview,1,,,,Yes,Yes,Yes
295,02/02/2024,123 Dunlop st W,Speakcheasy,,,,No,No,Yes
296,02/02/2024,13 Clapperton,N/a,,,,No,No,Yes
297,02/02/2024,11 clapperton,A,,,,No,No,Yes
298,02/02/2024,11 clapperton,B,,,,No,No,Yes
299,02/02/2024,19 clapperton,N/a,,,,No,No,Yes
300,02/02/2024,18 clapperton,N/a,,,,No,No,Yes
301,05/02/2024,62 maple st barrie,N/A,,,,No,No,Yes
302,05/02/2024,68 Maple st Barrie,D,,,,No,No,Yes
303,05/02/2024,110 Saunders rd ,#3,,,,No,Yes,No
304,05/02/2024,110 Saunders rd ,#4 ,,,,No,Yes,No
305,05/02/2024,110 Saunders rd ,#13,,,,No,Yes,No
306,09/05/2023,556 Bryne Drive,1&2,,,,No,Yes,Yes
307,07/02/2024,112 Commerce Park Drive,I,,,,No,Yes,No
308,08/02/2024,74 Cedar Point ,1014,,,,No,No,No
309,08/02/2024,74 cedar Point,1011,,,,No,No,No
310,08/02/2024,68 Maple,B,,,,No,No,Yes
311,08/02/2024,68 Maple ,C,,,,No,No,Yes
312,09/02/2024,482 Bayfield street ,3,,,,No,No,Yes
313,09/02/2024,422 Tiffin St.,1,,,,No,No,Yes
314,09/02/2024,10 Dunlop street East,None ,,,,No,No,Yes
315,16/02/2024,44 Dunlop Street East,No unit,,,,No,No,No
316,12/02/2024,25 Morrow rd ,601,,,,No,Yes,Yes
317,12/02/2024,12 Fairview dr ,Na ,,,,,,
318,13/02/2024,90 Ardagh Rd. ,Na,,,,No,No,Yes
319,13/02/2024,102 commerce park,9,,,,No,Yes,Yes
320,14/02/2024,490 Bayfield street,Na ,,,,No,No,Yes
321,14/02/2024,144 burton avenue,Not applicable,,,,No,No,Yes
322,14/02/2024,114 burton ave,Not applicable,,,,No,No,No
323,14/02/2024,140 burton ave,Not applicable,,,,No,No,Yes
324,14/02/2024,827 big bay point rd,C1,,,,No,No,Yes
325,14/02/2024,824,C2,,,,No,No,No
326,14/02/2024,827 big bay point rd,C7,,,,No,No,No
327,12/02/2024,122 commerce park ,B&C ,,,,No,Yes,Yes
328,12/02/2024,122 Commerce Park Drive,A,,,,No,Yes,Yes
329,12/02/2024,92 Commerce Park Drive ,8,,,,,,
330,15/02/2024,112 Commerce Park Drive ,K,,,,No,Yes,Yes
331,18/02/2024,307 Bayfield street,N/a,,,,No,No,Yes
332,18/02/2024,309 Bayfield street,N/a,,,,No,No,Yes
333,18/02/2024,311 bayfield,N/a,,,,No,No,No
334,21/02/2024,36 Morrow Rd,300,,,,Yes,No,Yes
335,21/02/2024,28 Currie Street,4,,,,No,Yes,Yes
336,21/02/2024,28 Currie Street,15,,,,No,Yes,Yes
337,21/02/2024,122 commerce park drive,EFG,,,,No,Yes,Yes
338,21/02/2024,174 Prince William Way,15,,,,No,No,Yes
339,21/02/2024,122 Commerce Park Drive,D,,,,No,Yes,Yes
340,22/02/2024,172 Prince William Way,13 and 14,,,,No,Yes,Yes
341,21/02/2024,122 Commerce Park Drive,L,,,,No,Yes,Yes
342,21/02/2024,92 Commerce Park Drive,11,,,,No,Yes,No
343,24/02/2024,125 Dunlop street east,1,,,,No,No,Yes
344,23/02/2024,139 Dunlop street east ,1,,,,No,No,Yes
345,23/02/2024,10 ross,1,,,,No,No,Yes
346,26/02/2024,112 Commerce Park Dr,DEFGH,,,,No,Yes,Yes
347,26/02/2024,490 Mapleview Dr W,7,,,,No,No,Yes
348,26/02/2024,502 Bayfield ,No,,,,Yes,No,Yes
349,27/02/2024,226 Essa Rd,No,,,,No,No,Yes
350,27/02/2024,85 Patterson Rd,1,,,,No,No,Yes
351,28/02/2024,401 Bayfield Street,NA,,,,Yes,No,Yes
352,28/02/2024,407 Bayfield,1 ,,,,Yes,No,Yes
353,28/02/2024,407,2,,,,No,No,Yes
354,01/03/2024,468 Bayfield st,Old navy,,,,No,No,Yes
355,01/03/2024,107 Dunlop St. W,0,,,,No,No,Yes
356,01/03/2024,506 Bayfield st,Mr sub,,,,No,No,Yes
357,01/03/2024,506 Bayfield st,Fat bastard borrito ,,,,No,No,Yes
358,04/03/2024,54 Maple ave,F,,,,No,No,Yes
359,04/03/2024,28 Dunlop street East,.,,,,Yes,No,Yes
360,04/03/2024,40 Dunlop street east ,.,,,,Yes,No,Yes
361,04/03/2024,400 Bayview,2,,,,No,Yes,Yes
362,04/03/2024,400 bayview,1,,,,No,Yes,Yes
363,04/03/2024,397 Bayfield St,2,,,,No,No,Yes
364,04/03/2024,397 Bayfield St,1,,,,Yes,Yes,Yes
365,04/03/2024,405 Bayfield St,No,,,,No,No,Yes
366,05/03/2024,34 Cedar point drive,509,,,,No,No,Yes
