Enter Date,Address,Is there a fire alarm in this building?,Is this building sprinklered?,Are fire extinguishers fully charged?
17/12/2021,19 Cheltenham,Yes,Yes,Yes
27/01/2022,101 Kozlov,Yes,No,Yes
10/02/2022,12 kozlov street,Yes,Yes,Yes
17/02/2022,18 Sophia street,Yes,Yes,Yes
24/02/2022,371 king - Unit 1 & 2,,,
24/02/2022,371 king unit 4,,,
24/02/2002,371 king - Unit 6,,,
24/02/2022,371 king - Unit 8 & 9 & 10,,,
09/03/2022,190 Cundles Rd E - Unit 107,,,
09/03/2022,190 Cundles Rd E - Unit 103,,,
09/03/2022,190 Cundles Rd E - Unit 100B,,,
09/03/2022,190 Cundles Rd E - Unit 100C,,,
09/03/2022,190 Cundles Rd E - Unit 001,,,
09/03/2022,190 Cundles Rd E - Unit 203,,,
09/03/2022,190 Cundles Rd E - Unit 204,,,
09/03/2022,190 Cundles Rd E - Unit 205 and 205  (b),,,
15/03/2022,190 Cundles Rd E - Unit 301B,,,
15/03/2022,190 Cundles Rd E - Unit 302,,,
15/03/2022,190 Cundles Rd E - Unit 305,,,
15/03/2022,190 Cundles Rd E - Unit 301A,,,
15/03/2022,190 Cundles Rd E - Unit 307,,,
15/03/2022,190 Cundles Rd E - Unit 310,,,
15/03/2022,190 Cundles Rd E - Unit 303,,,
09/03/2022,190 Cundles Rd E - Unit 105,,,
09/03/2022,190 Cundles Rd E - Unit 101,,,
09/03/2022,190 Cundles Rd E - Unit 102,,,
09/03/2022,190 Cundles Rd E - Unit 103B,,,
22/03/2022,11 Lakeside Terrace - Unit 101,,,
22/03/2022,11 Lakeside Terrace - Unit 102,,,
22/03/2022,11 Lakeside Terrace - Unit 106,,,
22/03/2022,11 Lakeside Terrace - Unit LL1,,,
22/03/2022,11 Lakeside terrace - Unit LL3,,,
22/03/2022,11 Lakeside Terrace - Unit 501,,,
22/03/2022,11 Lakeside Terrace - Unit 502,,,
22/03/2022,11 Lakeside Terrace - Unit 402 a/b,,,
22/03/2022,11 Lakeside Terrace - Unit 401,,,
24/03/2022,136 Bayfield Street - 4th floor & Base Bldg,,,
24/03/2022,136 Bayfield Street - 3rd floor,,,
24/03/2022,136 Bayfield Street - 2nd floor,,,
24/03/2022,136 Bayfield Street - 1st floor,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
*FPO Daer has this file*,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
28/06/2022,171 Collier St,Yes,Yes,Yes
30/06/2022,2 Kozlov St,Yes,Yes,Yes
12/07/2022,101 Georgian drive ,Yes,Yes,No
14/07/2022,380 Duckworth Rd,Yes,Yes,No
15/07/2022,111 Dambrosio,Yes,Yes,Yes
08/08/2022,100 little ave,Yes,Yes,Yes
31/08/2022,90 Little,Yes,Yes,Yes
28/09/2022,75 Ellen,Yes,Yes,Yes
17/11/2022,181 Collier St,Yes,Yes,Yes
21/12/2022,25 Meadow Lane,Yes,No,Yes
1/5/2023 0:00:00,37 Johnson,Yes,Yes,Yes
08/02/2023,380 Essa road ,Yes,No,Yes
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
21/02/2023,76 Ardagh,Yes,No,Yes
44978,15 Queen Street,,No,Yes
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2/23/2023 0:00:00,140 &150 Dunlop st,Yes,Yes,Yes
,,,,
,,,,
,,,,
,,,,
2/24/2023 0:00:00,363 Duckworth St,Yes,No,No
24/02/2023,2 Toronto St. ,Yes,Yes,Yes
,,,,
,,,,
2/24/2023 0:00:00,80 Grove st,Yes,No,Yes
2/24/2023 0:00:00,118 St Vincent.,Yes,No,Yes
,,,,
,,,,
